itemid,name,price,order-in-page,page-number
11868917996,🔥SG LOCAL STOCK🔥Baby Automatic Nail Trimmer🔥Safe Baby Nail Clippers Set🔥Painless Kit Tool🔥,7.45,13,2
13832918619,Cubble Bamboo Pillow Medium 19cm x 38cm / Large 25cm x 55 cm (3 Designs) - Perfect Baby Sleeptime Hug Pillow,13.90,14,2
7055566848,[SG Stock] Baby Hooded Coral Fleece Bath Towel Newborn Bath Towel Kids Hooded Shower Towel,7.90,15,2
20738741122,[NEW] Pigeon SofTouch™ Wide Neck Nipple (2pcs),6.00,16,2
9052447457,[SG] Muslin cotton newborn baby swaddle/blanket/towel,5.90,17,2
13585136351,NEW Baby Literacy Wall Chart Young Children Early Education Wall Stickers Cognitive Wall Chart Baby Enlightenment Silent Card,1.97,18,2
3194112278,ANKOU AirTight Milk Powder Container with Scraper - Rectangle Clear(1000ml/ 1700ml/ 2300ml),15.90,19,2
22225463499,Picnic Baby Baby Food Pouch/Porridge/Macaroni Soup Stock Instant Meal [Halal Certified by Thailand],2.95,20,2
4591806279,(1pack) Looney Tunes Baby Anti Bacterial Wet Wipes GoCHEEP,0.99,21,2
11809027205,Toddler Busy Board - Montessori Sensory Activity Board  for Toddler  Age 2 to 4 Early Development | Christmas Gift,5.99,22,2
21728941301,🌈 Local Ship🌈Water Beads Soaking Expanding Crystal Beads Children's Decompression Toys Watercolor Orbeez,0.79,23,2
13583595886,Mama's Choice Baby Hair Vitamin Lotion with Organic Aloe Vera and Chamomile | Alcohol-free | Paraben-free,16.90,24,2
3547578049,"[Bundle DEAL] Dumex Dugro Stage 3/4/5 850g - Original, Honey, Chocolate",21.90,25,2
9148633693,[Einmilk] Baby Wet Wipes 100 pcs x10 packs For Baby with Festive Version,13.90,26,2
14178927690,30x30cm Newborn Baby Washcloth | Burp Cloth | Handkerchief,0.90,27,2
9945558443,"BzuBzu Silky Soft Kids Shampoo and Conditioner Bundle Deal, 600ml | Tear-Free | Designed for Frizzy & Fragile Hair",11.10,28,2
6361631895,Autumnz Eastman Tritan Flip Top Children Straw Bottle (300ml / 500ml / 650ml) 9m+ BPA FREE - SUPERBRAND AWARD,6.90,29,2
12605782821,Cetaphil Baby Gentle Wash and Shampoo / Daily Lotion (With Shea Butter) 400ML,14.20,30,2
6266640512,Mama's Choice Flat Head Prevention Pillow (Head shaping organic memory foam baby and infant pillow),12.90,31,2
5620656637,30pcs 100ml 200ml Breastmilk Breast milk storage bags with Spout Double zipper Sir Whiston,4.97,32,2
3917505670,Pigeon Baby Wet Wipes 100% Pure Water 80pcs - Baby Kingdom,34.95,33,2
2296011465,Enfagrow Pro A+Stage 3/4/5 1.8kg | Made in Netherlands for Singapore,49.00,34,2
2886539500,🇸🇬 wet bag diaper bag nappy bag waterproof 30x36cm double zip,1.80,35,2
10854259685,S26 Gold Progress (Stage 3) / Gold Promise (Stage 4) 1.8Kg Box [Made In Singapore],43.90,36,2
5632796908,"Mama's Choice Stretch Mark Cream (Safe, halal and natural skincare for pregnancy)",18.90,37,2
21961222555,"26 Alphabet Plush Toy, Alphabets Alphabet Lore Stuffed Doll Preschool Educational English ABC Letter Toy for Kids Children A-Z Christmas Gifts",0.92,38,2
17280990308,ins trend small fresh children's cartoon stickers waterproof durable washable baby stickers cute watch spaceman princess watermark stickers,1.30,39,2
7347494112,"Enfagrow A+ Stage 3/ Stage 4, 1.74Kg /2.32Kg/ 3.48Kg REFILL Pack [Import From Malaysia]",46.90,40,2
8233894936,[SG LOCAL STOCK] Children Feeding Drinking Water Bottle Kids Bottle with Straw Long Strap Avenger Frozen Pony McQueen,5.43,41,2
6458905602,[SG Stocks] Muslin Bamboo Cotton Baby Wrap Newborn Swaddle Blanket Cover Bath Towel Super Soft,5.70,42,2
8242356121,Cetaphil Baby Calendula Range (Single or Set),11.20,43,2
18341523821,🏅【Ultra Soft Organic Baby Bamboo Pillow 】Bamboo Baby Pillows for better Sleeping#Breathable Child First Pillow#HugPillow,14.99,44,2
7744629960,[Local Seller/ SG Stock] Triangle Baby Bibs with Cartoon Design 100% Cotton [Minimum Order 4],1.05,45,2
21728293417,DIY Math Exercise Student Addition/subtraction/multiplication Test Stamp Scrollable with Ink 10ml Educational Math Toys,3.60,46,2
10672977911,Children's Decompression Deformation Robot Toy Variety Fingertip Finger Mechanical Gyro Decompression Toy,1.62,47,2
19720191153,GOOSEKET Toddler Sling / Cotton Baby Hip Seat Carrier / 11 Color,73.44,48,2
20430069464,【SPOT】Children's dart ball game toys | Puzzle cloth sticky dart board toy educational game dart throwing indoor sports toys parent-child interactive toys,2.24,49,2
2025809512,2.5CM Thickness Play mat 60*60cm Puzzle Mat Playmat,4.45,50,2
1956510974,2 Pack/ Set Stroller Hanging Bag Baby Stroller Hook 360 Degree Rotating Hook,4.27,51,2
10840817032,[AMAZING AMMAR] Hair & Scalp Oil (suitable for baby and kids),17.90,52,2
19140074997,Ultra Soft Gauze 360 Bib | 100% Pure Cotton newborn bib | 2 adjustable button | 0-2 Year Old,4.30,53,2
1540859284,🇸🇬 baby stroller baby pram rain cover can use as dust cover,6.66,54,2
23601962019,【 SG in stock 】Mini Cute 10Pcs/80Pcs Design Baby Wet Wipes Soft Wet Tissue Wipes For Kids School Use wet toilet wipes,0.25,55,2
7017331975,Sambucol Black Elderberry - Kids/Baby/Immuno Forte/Original/Extra Defence /Immunped / Lactogg,10.90,56,2
2908042390,1.8Kg Similac Gain Kid & Gain Plus (Tin/Refill),45.30,57,2
5562128223,"[✅SG Ready Stock] 8.5 inch / 12 inch LCD Pad Writing Tablet For kids,Kids Drawing Pad Portable Electronic Tablet Board",3.98,58,2
11300068092,[Big & Thicker] 10 Packs/Carton Wet Tissues 800 Sheets Baby Wet Wipes Unscented Wipe 100% Chlorine Free Wet Tissue,13.90,59,2
5467703313,Baby Microfiber WashCloths Face Towel Handkerchief Saliva Towel 20x20cm 30x30cm Absorbent,9.90,0,3
14093939898,Breast Milk Storage Bags with Pour Spout (210ML/7oz) | Double Ziplock Pre-sterilized Breastmilk Storage Bags |MUMCHECKED,0.34,1,3
4955366816,"(850g Bundle) Dumex Dugro Stage 3/4/5 - Original, Honey & Chocolate Flavour",20.90,2,3
21955167222,[Ready Stock]Magic Water Coloring Book Watercolour Book For Children Day Birthday Party Goodie Bag Children Gift,1.16,3,3
23605400592,[SG READY STOCK] 10Pcs/Pack Baby Kid Disposable Bib,2.10,4,3
4513952423,"💥 60cm x 120cm baby cot fitted sheet, childcare mattress sheet",10.75,5,3
173233099,1.6Kg PEDIASURE (1~10 years) / 850g PEDIASURE (10+),38.50,6,3
11037127036,Children Wooden Puzzle Toy  Birthday Gift Educational Goodie Bag,0.89,7,3
5044426612,Bamboo Dragonfly with light Shooting Rocket Flying parachute Sky UFO Outdoor Night Game toy for kid children,0.86,8,3
1515303086,MERRIES Giant pack  Tape & Pants Diaper - 2023 New Version,35.50,9,3
14149076411,"Kodomo Cleanser for Baby Bottles and Accessories, 750ml Bottle / 700ml Refill",8.50,10,3
11002621062,☺ Ca> 3Pcs/Set Baby Pacifier Clips Pacifier Chain Dummy Clip Nipple Holder For Nipples,2.66,11,3
3837155569,[Jumbo] Baa Baa Sheepz Bed-Time Buddy Jumbo Pillow with Tag (8 Designs),43.00,12,3
15338862268,9 Pieces Montessori Children's Wooden Puzzle Grasp Board,0.88,13,3
20720231193,(Lil' Curators) 5/10 Pcs Transparent Corner Guard | Child Proof Table & Edge | Baby Safety Protection | Anti Collision,3.99,14,3
2908225533,PEDIASURE 1.6Kg/ 1.8kg (1-10 years) - Vanilla/Plain/Chocolate,57.50,15,3
9252911949,Magic Water Coloring Book For Children Day Birthday Party Goodie Bag,1.20,16,3
1281525470,"Spectra flange 24, 28, 32mm Breastpump Accessories, maymom flange 15-32mm for Spectra and maymom",3.80,17,3
6149579084,[120pc] 유니맘 Unimom KOREA Premium BPA Free Breast milk storage bag with Thermal Sensor | Big Size |  Food Grade &,3.99,18,3
15630648886,"[SG Stock][4.4"" - 16""] LCD Writing Pad Writing Tablet For Kids Drawing Pad Portable Electronic Tablet Board",2.90,19,3
20948837869,Wel-B Assorted Vitamin-Rich Freeze-Dried Fruits Snack,1.99,20,3
4928987005,Mustela 750ml Gentle Cleansing Gel Hair and Body Wash (exp 04/2025),30.21,21,3
4222218590,"BioGaia Protectis Baby Probiotics Drops, 5ml/10ml (Vit D) / Lactogg",19.90,22,3
11066810510,Cubble Comfy Pillow Replacement Case Medium 19x35cm (Fits Pillow 19-20 x 35-38 cm) 3 Colors - Bamboo Baby Pillow Cover,9.90,23,3
21906228775,Cetaphil Baby Gentle Wash and Shampoo I Daily Lotion (With Shea Butter) 400ML | Baby Massage Oil 200ml [Baebear.sg],11.39,24,3
15067454253,Baby Toilet Training Pants 6Layers 100% Cotton Rewashable Diapers,2.40,25,3
12295706113,Sterimar Nasal Spray for baby Breathe Easy Nasal Hygiene Blocked Nose Congestion Relief 100ml,22.50,26,3
17068922088,Cubble 2-in-1 Baby Swaddle and Sleeping Bag Baby Sleepsack 0-3M / 3-12M (9 Designs) / Love to Dream,15.50,27,3
4595470085,🇸🇬 30x30cm Newborn Baby Washcloth | Burp Cloth | Handkerchief,1.50,28,3
11240233111,"[HOT SALE]💓2PCS/Set Strong  Door Closer Cabinet Catch Latch Cupboard Ultra Thin Closer lock, Invisible Strong Door Stopper",1.07,29,3
749590880,Jeju Wet Wipes 10packs (800pcs) | Refill type(no hard cap) | MFD date : Mar. 2023,20.20,30,3
9345566203,"BzuBzu Happy Kids Body Wash Bundle Deal, 600ml | Designed for Sensitive Skin",10.45,31,3
7335073137,(5.5 SALE) (0 to 6 months) Baby Swaddle Bamboo Sleeping Bag Swaddle Zip Sleep Bag Newborn Swaddle,13.50,32,3
10926028693,Animal Toys Compatible Duplo Lego Building Blocks Educational Toys for Kids Dinosaur Toys for kids Lego blocks Whale Birthday gift for kids Building Block toys for toddler Animal Toy,0.99,33,3
12747835362,Wooden Peg Board Early Learning Wooden Toys Geometric Shapes Children Cartoon Animal Kids Baby Hand Grasp Jigsaw Puzzle,3.90,34,3
10586535483,[SG 🇸🇬 Ready Stock] Cute Mini Wet Wipes Small Wet Tissue Baby Wet Wipes Travel Wipes Wet Birthday Goodie Bag Baby Wipes,2.60,35,3
3806456686,WelB Freeze Dried Fruits in pack of 6 - Strawberry/ Strawberry Banana/ Apple/ Peach / Sweet Corn,14.00,36,3
21803477535,Biomom Baby Food Feeder & Teether (8 Colours),3.90,37,3
20739280770,Cubble Baby Bamboo Swaddle and Sleeping Bag - Arms Up Position Baby Sleepsack 0-3M/3-6M (6 Designs),14.50,38,3
19962867361,💕 4 PACKS DEAL 💕 MERRIES Disposable Diaper - Tape & Pants - GIANT Packs,69.90,39,3
12870638424,Disney Princess  Children Nail Sticker nail decoration,0.59,40,3
2878153412,"Philips Avent Ultra Air Soother/Pacifier 0-6m, 6-18m, 18m+, 2pcs",10.50,41,3
6758944665,[Carton DEAL 4 Packs] MamyPoko Extra Dry Super Jumpo Pack / Tape & Pants,30.40,42,3
15325600019,🇸🇬 Baby Muslin Swaddle / Muslin Wrap / Baby Blanket Cover,4.39,43,3
2285912073,🏅【Baby  Organic Bean Sprout Husk Pillow】 Beansprout Pillow Baby pillow#100% handmade in Singapore#Better Sleep Baby Hug,14.90,44,3
288973396,60 x 60cm  Puzzle EVA Play Mat/Kids Baby Playmats,2.55,45,3
16332295418,[Local SG stock] Kids Flashcard in box with Ring,1.00,46,3
6231741890,❤8070❤ Goodie Bag❤Game/Toy★Birthday/children’s day gift,0.23,47,3
18537806371,Nino Nana Diaper Pants - M (6-11 kg) | L (9-14 kg) | XL (12-18 kg) | XXL (15-23 kg),19.90,48,3
799076902,🔥Ready Stock🔥 KidzParadize Kidz Paradize KP Organic Natural Baby Balms Rubs Roll Ons Blends Essential Oils,7.00,49,3
11520397262,Suction Cup Spinning Toy Baby Bath Toy Fun dining table and chair children's fingertip spinning top,2.37,50,3
159936426,[Bundle of 3] Pureen Liquid Cleanser No Flavour 750ml and 2x600ml Bundle Sale,14.80,51,3
3915613023,INSTOCK [Shopee No.1 Baby Wipes] Oldam 올담 Baby wet wipes Korea wipes For baby sensitive skin,19.90,52,3
4740486472,Autumnz Breast Milk Wide Neck Storage Bottles (5oz/150ml) / (7oz/210ml) (SUPERBRAND AWARD),10.80,53,3
20168826671,[Ready Stock] 2 Pack/Cartons Charnins Baby Diaper Pull Up Pants and Tape for Baby diaper,18.50,54,3
6230440472,Legendairy Milk Sunflower Lecithin Organic 200 caps,49.90,55,3
942816145,poyoko baby bath towel childcare 100% cotton towel 50*100cm,4.50,56,3
9615265938,🇸🇬 (3 SIZES) Wet Bag / Diaper Bag / Waterproof Wet Bag / Nappy Bag,2.90,57,3
3114550562,Goodie Bag/ Stationary/ Party Pack/ Wallet stationary / Paw Patrol / Unicorn,1.19,58,3
20062942588,Pregnancy Test Kit,2.50,59,3
